,ARIMA,ETS,SARIMAX
2025-08-01,34915.302124163245,34825.98306191983,33677.72456550815
2025-09-01,32603.184927859136,33303.92963672362,32454.36112435992
2025-10-01,35605.614215030706,34499.18896900411,35149.06672775735
2025-11-01,32385.368021789047,32343.84445292532,31911.198093941155
2025-12-01,30014.672762290404,31446.030525480513,29671.255721617057
2026-01-01,38677.65672317391,39017.78294583023,37147.82802289531
2026-02-01,34026.63575809037,33836.899903826954,32973.55190254649
2026-03-01,36047.76712306748,37997.997831114364,34786.51584988899
2026-04-01,37722.559887412666,35896.54413184883,36707.827570393325
2026-05-01,36042.38546677313,34064.92498233712,34401.8872182789
2026-06-01,36275.52952680527,34829.8435534817,34487.55501006723
2026-07-01,38881.34101760686,37080.59985479628,36967.12813110549
