year,month,month_name,repo_rate,holiday_count,major_religious_holiday,major_national_holiday,sub_4m_rule,bs3_norms,bs4_norms,bs6_norms,fame_i,fame_ii,fame_iii,pli_scheme,vehicle_scrappage_policy,bharat_ncap
2005,1,January,6.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
2005,2,February,6.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2005,3,March,6.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2005,4,April,6.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
2005,5,May,6.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
2005,6,June,6.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
2005,7,July,6.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
2005,8,August,6.0,2.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0
2005,9,September,6.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
2005,10,October,6.25,2.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0
2005,11,November,6.25,3.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0
2005,12,December,6.25,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
2006,1,January,6.5,2.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0
2006,2,February,6.5,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
2006,3,March,6.5,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2006,4,April,6.5,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2006,5,May,6.5,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2006,6,June,6.5,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2006,7,July,7.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2006,8,August,7.0,2.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0
2006,9,September,7.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2006,10,October,7.25,3.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0
2006,11,November,7.25,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2006,12,December,7.25,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2007,1,January,7.5,2.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0
2007,2,February,7.5,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2007,3,March,7.75,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2007,4,April,7.75,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2007,5,May,7.75,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2007,6,June,7.75,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2007,7,July,7.75,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2007,8,August,7.75,1.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0
2007,9,September,7.75,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2007,10,October,7.75,3.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0
2007,11,November,7.75,2.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0
2007,12,December,7.75,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2008,1,January,7.75,2.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0
2008,2,February,7.75,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2008,3,March,7.75,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2008,4,April,7.75,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2008,5,May,7.75,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2008,6,June,8.16,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2008,7,July,9.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2008,8,August,9.0,2.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0
2008,9,September,9.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2008,10,October,8.0,3.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0
2008,11,November,7.5,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2008,12,December,6.5,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2009,1,January,5.5,2.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0
2009,2,February,5.5,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2009,3,March,5.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2009,4,April,4.75,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2009,5,May,4.75,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2009,6,June,4.75,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2009,7,July,4.75,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2009,8,August,4.75,2.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0
2009,9,September,4.75,2.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0
2009,10,October,4.75,2.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0
2009,11,November,4.75,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2009,12,December,4.75,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2010,1,January,4.75,1.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0
