Month,CNG ONLY,DI METHYL ETHER,DIESEL,DIESEL/HYBRID,DUAL DIESEL/BIO CNG,DUAL DIESEL/CNG,DUAL DIESEL/LNG,ELECTRIC BOV,ETHANOL E,FUEL CELL HYDROGEN,LNG,LPG ONLY,METHANOL,NOT APPLICABLE,PETROL,PETROL E,PETROL E /CNG,PETROL E /HYBRID,PETROL E /HYBRID/CNG,PETROL E /LPG,PETROL/CNG,PETROL/HYBRID,PETROL/HYBRID/CNG,PETROL/LPG,PETROL/METHANOL,PLUG IN HYBRID EV,PURE EV,SOLAR,STRONG HYBRID EV,Total
2005-01,244,0,"82,367",3,0,0,1,61,0,0,0,210,2,"3,979","366,353",0,0,0,0,0,"6,012",1,0,"5,421",0,0,0,4,0,"464,658"
2005-02,337,0,"81,672",6,0,0,0,69,0,0,0,175,0,"4,838","367,990",1,0,0,0,0,"6,233",1,0,"5,028",0,0,0,15,0,"466,365"
2005-03,494,0,"94,833",4,0,0,0,81,0,0,0,217,0,"6,645","388,610",1,0,0,0,0,"7,059",0,0,"5,554",0,0,0,3,0,"503,501"
2005-04,487,0,"77,152",6,0,0,0,84,0,0,0,198,0,"5,109","347,410",1,0,0,0,0,"5,707",0,0,"4,987",0,0,0,4,0,"441,145"
2005-05,400,0,"77,341",2,0,0,0,93,0,0,0,120,0,"5,069","393,066",0,0,0,0,0,"6,095",0,0,"4,822",0,0,1,3,0,"487,012"
2005-06,570,0,"77,598",4,0,0,0,114,0,0,0,138,0,"4,397","386,143",1,0,0,0,0,"5,811",1,0,"4,660",0,0,0,2,0,"479,439"
2005-07,553,0,"76,880",8,0,0,0,114,0,0,0,171,0,"4,556","348,176",1,0,0,0,0,"6,426",0,0,"4,616",0,0,0,2,0,"441,503"
2005-08,455,0,"76,344",9,0,0,0,134,1,0,0,176,1,"4,687","362,030",2,0,0,0,0,"7,010",0,0,"5,010",0,0,0,5,0,"455,864"
2005-09,571,0,"84,220",15,0,0,0,110,2,0,0,216,0,"5,326","368,960",1,0,0,0,0,"6,632",0,0,"4,817",0,0,0,5,0,"470,875"
2005-10,584,0,"86,831",3,0,0,0,111,0,0,0,237,0,"5,131","434,005",0,0,0,0,0,"9,279",1,0,"5,326",0,0,0,4,0,"541,512"
2005-11,342,0,"79,782",6,0,0,0,84,0,0,1,207,0,"5,085","448,882",2,0,0,0,0,"6,707",0,0,"4,828",0,0,0,6,0,"545,932"
2005-12,616,0,"82,260",7,0,0,0,72,0,1,0,176,0,"6,186","376,933",0,0,0,0,0,"6,954",1,0,"4,346",0,0,0,4,0,"477,556"
2006-01,625,0,"101,826",7,0,0,0,89,1,0,0,221,0,"5,864","445,376",2,0,0,0,0,"8,912",0,0,"5,884",0,0,0,4,0,"568,811"
2006-02,473,0,"101,750",6,0,1,0,99,0,0,0,184,0,"6,329","440,508",2,0,0,0,0,"8,039",0,0,"5,199",0,0,0,4,0,"562,594"
2006-03,567,0,"119,306",4,0,0,0,102,0,1,0,281,0,"8,192","486,931",3,0,0,0,0,"9,958",1,0,"6,449",0,0,0,4,0,"631,799"
