date,fame_ii,fame_iii,pm_edrive,bs7_norms,bharat_ncap,scrappage_policy,pli_scheme,repo_rate_cut_2025,repo_rate
2023-01-01,1,0,0,0,0,1,1,0,6.5
2023-02-01,1,0,0,0,0,1,1,0,6.5
2023-03-01,1,0,0,0,0,1,1,0,6.5
2023-04-01,1,0,0,0,0,1,1,0,6.5
2023-05-01,1,0,0,0,0,1,1,0,6.5
2023-06-01,1,0,0,0,0,1,1,0,6.5
2023-07-01,1,0,0,0,0,1,1,0,6.5
2023-08-01,1,0,0,0,0,1,1,0,6.5
2023-09-01,1,0,0,0,0,1,1,0,6.5
2023-10-01,1,0,0,0,1,1,1,0,6.5
2023-11-01,1,0,0,0,1,1,1,0,6.5
2023-12-01,1,0,0,0,1,1,1,0,6.5
2024-01-01,1,0,0,0,1,1,1,0,6.25
2024-02-01,1,0,0,0,1,1,1,0,6.25
2024-03-01,1,0,0,0,1,1,1,0,6.25
2024-04-01,0,0,0,0,1,1,1,0,6.25
2024-05-01,0,0,0,0,1,1,1,0,6.25
2024-06-01,0,0,0,0,1,1,1,0,6.25
2024-07-01,0,0,0,0,1,1,1,0,6.25
2024-08-01,0,0,0,0,1,1,1,0,6.25
2024-09-01,0,0,0,0,1,1,1,0,6.25
2024-10-01,0,0,1,0,1,1,1,0,6.25
2024-11-01,0,0,1,0,1,1,1,0,6.25
2024-12-01,0,0,1,0,1,1,1,0,6.25
2025-01-01,0,0,1,0,1,1,1,0,5.5
2025-02-01,0,0,1,0,1,1,1,0,5.5
2025-03-01,0,0,1,0,1,1,1,0,5.5
2025-04-01,0,1,1,0,1,1,1,0,5.5
2025-05-01,0,1,1,0,1,1,1,0,5.5
2025-06-01,0,1,1,0,1,1,1,1,5.5
2025-07-01,0,1,1,0,1,1,1,1,5.5
2025-08-01,0,1,1,0,1,1,1,1,5.5
2025-09-01,0,1,1,0,1,1,1,1,5.5
2025-10-01,0,1,1,0,1,1,1,1,5.5
2025-11-01,0,1,1,0,1,1,1,1,5.5
2025-12-01,0,1,1,0,1,1,1,1,5.5
