Date,Day,Month,Year,Holiday Name,Type
2005-01-21,Friday,January,2005,Bakrid,National
2005-01-26,Wednesday,January,2005,Republic Day,National
2005-02-19,Saturday,February,2005,Muharram,National
2005-03-08,Tuesday,March,2005,Maha Shivaratri,National
2005-03-25,Friday,March,2005,Good Friday,National
2005-04-22,Friday,April,2005,Mahavir Jayanti; Milad-un-Nabi,National
2005-05-23,Monday,May,2005,Buddha Purnima,National
2005-08-15,Monday,August,2005,Independence Day,National
2005-08-27,Saturday,August,2005,Janmashtami,National
2005-10-02,Sunday,October,2005,Gandhi Jayanti,National
2005-10-12,Wednesday,October,2005,Dussehra,National
2005-11-01,Tuesday,November,2005,Diwali,National
2005-11-03,Thursday,November,2005,Id-ul-Fitr,National
2005-11-15,Tuesday,November,2005,Guru Nanak Jayanti,National
2005-12-25,Sunday,December,2005,Christmas,National
2006-01-11,Wednesday,January,2006,Bakrid,National
2006-01-26,Thursday,January,2006,Republic Day,National
2006-02-09,Thursday,February,2006,Muharram,National
2006-02-26,Sunday,February,2006,Maha Shivaratri,National
2006-04-11,Tuesday,April,2006,Mahavir Jayanti; Milad-un-Nabi,National
2006-04-14,Friday,April,2006,Good Friday,National
2006-05-13,Saturday,May,2006,Buddha Purnima,National
2006-08-15,Tuesday,August,2006,Independence Day,National
2006-08-16,Wednesday,August,2006,Janmashtami,National
2006-10-02,Monday,October,2006,Dussehra; Gandhi Jayanti,National
2006-10-21,Saturday,October,2006,Diwali,National
2006-10-24,Tuesday,October,2006,Id-ul-Fitr,National
2006-11-05,Sunday,November,2006,Guru Nanak Jayanti,National
2006-12-25,Monday,December,2006,Christmas,National
2006-12-31,Sunday,December,2006,Bakrid,National
2007-01-26,Friday,January,2007,Republic Day,National
2007-01-30,Tuesday,January,2007,Muharram,National
2007-02-16,Friday,February,2007,Maha Shivaratri,National
2007-03-31,Saturday,March,2007,Mahavir Jayanti,National
2007-04-01,Sunday,April,2007,Milad-un-Nabi,National
2007-04-06,Friday,April,2007,Good Friday,National
2007-05-02,Wednesday,May,2007,Buddha Purnima,National
2007-08-15,Wednesday,August,2007,Independence Day,National
2007-09-04,Tuesday,September,2007,Janmashtami,National
2007-10-02,Tuesday,October,2007,Gandhi Jayanti,National
2007-10-13,Saturday,October,2007,Id-ul-Fitr,National
2007-10-21,Sunday,October,2007,Dussehra,National
2007-11-09,Friday,November,2007,Diwali,National
2007-11-24,Saturday,November,2007,Guru Nanak Jayanti,National
2007-12-20,Thursday,December,2007,Bakrid,National
2007-12-25,Tuesday,December,2007,Christmas,National
2008-01-19,Saturday,January,2008,Muharram,National
2008-01-26,Saturday,January,2008,Republic Day,National
2008-03-06,Thursday,March,2008,Maha Shivaratri,National
2008-03-21,Friday,March,2008,Good Friday; Milad-un-Nabi,National
2008-04-18,Friday,April,2008,Mahavir Jayanti,National
2008-05-20,Tuesday,May,2008,Buddha Purnima,National
2008-08-15,Friday,August,2008,Independence Day,National
2008-08-24,Sunday,August,2008,Janmashtami,National
2008-10-02,Thursday,October,2008,Gandhi Jayanti; Id-ul-Fitr,National
2008-10-09,Thursday,October,2008,Dussehra,National
2008-10-28,Tuesday,October,2008,Diwali,National
2008-11-13,Thursday,November,2008,Guru Nanak Jayanti,National
2008-12-09,Tuesday,December,2008,Bakrid,National
2008-12-25,Thursday,December,2008,Christmas,National
2009-01-07,Wednesday,January,2009,Muharram,National
2009-01-26,Monday,January,2009,Republic Day,National
2009-02-23,Monday,February,2009,Maha Shivaratri,National
2009-03-09,Monday,March,2009,Milad-un-Nabi,National
2009-04-07,Tuesday,April,2009,Mahavir Jayanti,National
2009-04-10,Friday,April,2009,Good Friday,National
2009-05-08,Friday,May,2009,Buddha Purnima,National
2009-08-14,Friday,August,2009,Janmashtami,National
2009-08-15,Saturday,August,2009,Independence Day,National
2009-09-21,Monday,September,2009,Id-ul-Fitr,National
2009-09-28,Monday,September,2009,Dussehra,National
2009-10-02,Friday,October,2009,Gandhi Jayanti,National
2009-10-17,Saturday,October,2009,Diwali,National
2009-11-02,Monday,November,2009,Guru Nanak Jayanti,National
2009-11-28,Saturday,November,2009,Bakrid,National
2009-12-25,Friday,December,2009,Christmas,National
2009-12-28,Monday,December,2009,Muharram,National
2010-01-26,Tuesday,January,2010,Republic Day,National
2010-02-12,Friday,February,2010,Maha Shivaratri,National
2010-02-27,Saturday,February,2010,Milad-un-Nabi,National
2010-04-02,Friday,April,2010,Good Friday,National
2010-04-28,Wednesday,April,2010,Mahavir Jayanti,National
2010-05-27,Thursday,May,2010,Buddha Purnima,National
2010-08-15,Sunday,August,2010,Independence Day,National
2010-09-02,Thursday,September,2010,Janmashtami,National
2010-09-10,Friday,September,2010,Id-ul-Fitr,National
2010-10-02,Saturday,October,2010,Gandhi Jayanti,National
2010-10-17,Sunday,October,2010,Dussehra,National
2010-11-05,Friday,November,2010,Diwali,National
