Month,FOUR WHEELER (Invalid Carriage),HEAVY GOODS VEHICLE,HEAVY MOTOR VEHICLE,HEAVY PASSENGER VEHICLE,LIGHT GOODS VEHICLE,LIGHT MOTOR VEHICLE,LIGHT PASSENGER VEHICLE,MEDIUM GOODS VEHICLE,MEDIUM MOTOR VEHICLE,MEDIUM PASSENGER VEHICLE,OTHER THAN MENTIONED ABOVE,THREE WHEELER (Invalid Carriage),THREE WHEELER(NT),THREE WHEELER(T),TWO WHEELER (Invalid Carriage),TWO WHEELER(NT),TWO WHEELER(T),Total
2023-01,248,"26,667",465,"1,440","56,344","401,732","17,873","3,134","1,135","1,314","5,225",0,"1,960","69,506",675,"1,267,998","1,056","1,856,772"
2023-02,260,"26,539",448,"1,469","51,554","345,526","15,087","3,043","1,039","1,455","6,126",0,"2,093","74,888","1,503","1,270,035","1,058","1,802,123"
2023-03,304,"32,154",578,"2,273","55,163","397,162","22,636","3,373","1,119","2,333","7,128",0,"2,049","88,487","4,118","1,449,543","1,383","2,069,803"
2023-04,281,"30,717",593,"2,087","47,613","323,424","20,611","3,540",877,"2,612","5,454",0,470,"73,177","2,118","1,232,559","1,249","1,747,382"
2023-05,306,"24,463",591,"2,246","45,551","352,560","22,763","3,002","1,004","2,671","5,505",0,73,"82,169","2,148","1,496,492","1,344","2,042,888"
2023-06,346,"20,751",542,"1,753","45,518","373,483","25,370","2,461",977,"3,532","7,677",0,96,"89,823","1,638","1,313,485","1,169","1,888,621"
2023-07,315,"19,712",430,"1,442","46,554","353,912","27,439","2,843",775,"3,264","4,250",0,86,"97,852","2,123","1,230,900","1,065","1,792,962"
2023-08,291,"21,414",426,"1,470","47,648","366,847","30,572","3,137",807,"2,561","4,596",0,103,"103,839","2,180","1,258,277",974,"1,845,142"
2023-09,296,"23,817",458,"1,825","49,808","364,321","28,058","3,144",926,"2,143","5,466",0,83,"105,876","2,643","1,313,901","2,431","1,905,196"
2023-10,276,"27,772",477,"1,841","55,255","396,542","27,729","3,710",981,"1,921","6,277",0,71,"110,376","3,280","1,513,089","1,621","2,151,218"
