Month,Adapted Vehicle,Agricultural Tractor,Ambulance,Animal Ambulance,Armoured/Specialised Vehicle,Articulated Vehicle,Auxiliary Trailer,Breakdown Van,Bulldozer,Bus,Camper Van / Trailer,Camper Van / Trailer (Private Use),Cash Van,Construction Equipment Vehicle,Construction Equipment Vehicle (Commercial),Crane Mounted Vehicle,Dumper,Earth Moving Equipment,Educational Institution Bus,Excavator (Commercial),Excavator (NT),Fire Fighting Vehicle,Fire Tenders,Fork Lift,Goods Carrier,Harvester,Hearses,Library Van,Luxury Cab,M-Cycle/Scooter,M-Cycle/Scooter-With Side Car,Maxi Cab,Mobile Canteen,Mobile Clinic,Mobile Workshop,Modular Hydraulic Trailer,Moped,Motor Cab,Motor Car,Motor Caravan,Motor Cycle/Scooter-SideCar(T),Motor Cycle/Scooter-Used For Hire,Motor Cycle/Scooter-With Trailer,Motorised Cycle (CC 25cc),Omni Bus,Omni Bus (Private Use),Power Tiller,Power Tiller (Commercial),Private Service Vehicle,Private Service Vehicle (Individual Use),Puller Tractor,Quadricycle (Commercial),Quadricycle (Private),Recovery Vehicle,Road Roller,School Bus,Semi-Trailer (Commercial),Snorked Ladders,Three Wheeler (Goods),Three Wheeler (Passenger),Three Wheeler (Personal),Tow Truck,Tower Wagon,Tractor (Commercial),Tractor-Trolley(Commercial),Trailer (Agricultural),Trailer (Commercial),Trailer For Personal Use,Tree Trimming Vehicle,Vehicle Fitted With Compressor,Vehicle Fitted With Generator,Vehicle Fitted With Rig,Vintage Motor Vehicle,X-Ray Van,e-Rickshaw with Cart (G),e-Rickshaw(P),Total
2023-01,923,"67,220",791,6,20,"2,439",1,3,1,"2,972",67,46,150,"2,671",531,589,"1,137",742,674,24,630,71,15,91,"75,428",941,4,1,375,"1,222,330",930,"1,024",0,427,2,0,"26,001","14,452","329,771",0,13,"1,043",0,"18,770",306,161,1,0,376,25,0,47,5,8,24,0,0,0,"8,384","31,422",59,9,2,"5,032",590,"3,362","1,654",0,0,9,9,26,0,0,"1,985","29,950","1,856,772"
2023-02,"1,763","62,553",649,3,1,"2,740",2,1,0,"3,197",77,50,106,"3,330",477,604,"1,238",833,823,22,563,33,24,105,"69,925","1,307",6,0,450,"1,225,314","1,007","1,078",0,18,8,0,"25,738","11,332","278,575",0,7,"1,051",0,"18,002",272,218,0,0,231,47,0,70,0,17,19,0,0,2,"8,937","34,991",60,3,0,"5,168",421,"3,504","1,949",0,0,24,2,8,0,0,"2,440","30,728","1,802,123"
2023-03,"4,422","73,564",851,317,7,"3,062",5,2,0,"4,619",89,49,175,"3,920",567,678,"1,511",925,"1,512",23,466,30,22,112,"78,256","1,817",13,0,638,"1,397,892","1,311","1,576",4,7,1,0,"30,410","17,317","318,799",0,11,"1,372",0,"19,957",383,267,1,0,368,94,0,51,3,24,39,0,0,1,"11,378","38,551",83,6,0,"5,776",400,"3,709","1,781",1,0,25,8,12,0,0,"3,210","37,323","2,069,803"
2023-04,"2,401","50,273",757,125,4,"2,996",2,3,0,"4,718",70,72,264,"3,414",617,598,"1,067",746,"1,985",15,421,65,59,130,"70,940",742,7,0,487,"1,188,151","1,072","1,701",2,158,5,0,"26,457","15,157","268,751",0,6,"1,243",0,"16,911",236,215,0,0,272,43,0,50,3,11,10,0,7,1,"8,507","30,811",57,7,1,"4,849",354,"3,425","1,624",3,0,19,6,7,0,0,"2,689","31,583","1,747,382"
2023-05,"2,455","64,695",807,8,2,"2,488",6,5,0,"4,903",55,110,108,"3,425",646,683,"1,013",642,"2,332",14,380,81,30,151,"62,008",801,10,0,623,"1,448,354","1,158","1,669",2,123,17,0,"28,965","16,831","284,004",0,5,"1,338",1,"18,060",261,351,0,0,289,110,0,46,8,14,13,0,16,1,"8,679","33,781",72,6,1,"5,299",761,"2,881","1,543",0,0,18,10,10,0,0,"3,112","36,598","2,042,888"
2023-06,"1,984","89,763","1,623",7,11,"1,959",0,4,0,"5,119",59,103,29,"3,082",520,712,"1,070",654,"3,406",53,268,18,11,117,"57,538","3,505",8,1,499,"1,269,032",933,"1,900",1,15,8,0,"27,566","17,621","278,315",2,3,"1,166",0,"15,971",300,"1,299",0,0,377,410,2,42,3,15,11,0,17,1,"8,856","39,057",79,11,0,"5,867","1,238","3,115","1,294",1,0,13,10,13,0,0,"2,890","39,044","1,888,621"
2023-07,"2,438","84,454","1,222",6,2,"1,927",0,4,0,"4,848",42,52,74,"2,791",513,624,745,674,"3,419",12,250,43,33,127,"58,452",168,8,1,203,"1,187,610",876,"2,028",1,12,3,0,"27,294","19,767","265,006",0,4,"1,021",40,"15,136",338,682,0,0,321,315,0,56,4,11,23,0,0,1,"9,649","41,911",79,5,5,"6,210",760,"3,106","1,228",0,0,9,14,6,0,0,"2,781","43,518","1,792,962"
2023-08,"2,472","68,407",869,7,14,"2,198",0,0,0,"4,399",61,105,80,"3,197",446,670,765,704,"2,390",8,269,13,34,148,"61,980",147,13,0,107,"1,215,672",961,"2,130",2,16,3,0,"27,026","23,839","293,761",1,7,967,0,"14,622",558,678,0,0,320,305,0,58,2,12,11,0,32,0,"9,694","44,885",103,11,2,"5,329",775,"3,140","1,442",0,0,4,4,7,0,0,"3,094","46,166","1,845,142"
2023-09,"2,941","48,977","1,277",12,8,"2,234",0,3,0,"4,412",81,63,41,"3,544",608,672,"1,027",832,"1,497",10,389,19,42,83,"66,838",420,13,1,116,"1,267,897",965,"2,009",1,11,1,0,"29,341","22,033","311,413",0,7,"2,424",0,"15,713",378,555,0,0,310,181,0,49,2,15,19,0,20,1,"9,611","46,513",83,7,5,"5,127",578,"2,896","1,088",0,0,13,5,13,0,0,"3,038","46,714","1,905,196"
2023-10,"3,558","55,335","1,378",10,3,"2,711",0,2,0,"4,296",62,53,204,"3,716",775,765,"1,299",835,"1,249",9,542,60,24,132,"74,252",615,12,1,136,"1,463,076","1,118","1,811",3,137,7,0,"31,544","21,965","336,308",0,19,"1,602",0,"17,360",425,690,0,0,293,167,0,58,5,8,31,0,26,0,"11,014","50,597",71,6,3,"6,535",451,"3,604","1,445",0,0,19,6,15,0,0,"3,021","45,744","2,151,218"
